id,survtime,censor,towdur,depth,length,handling,logcatch,_sample
115,64,0,1,10,57,4,5.323,1
116,500,1,1,10,44,4,5.323,1
117,131,1,1,10,44,4,5.323,1
118,59,0,1,10,48,4,5.323,1
119,64,0,1,10,40,4,5.323,1
120,17.299999,1,1,10,47,4,5.323,1
121,16,1,1,10,48,4,5.323,1
122,21,1,1,10,46,4,5.323,1
123,16.200001,1,1,10,48,4,5.323,1
124,16.200001,1,1,10,43,4,5.323,1
125,162.10001,1,1,10,41,4,5.323,1
126,21,1,1,10,43,4,5.323,1
127,64,0,1,10,50,4,5.323,1
128,64,0,1,10,53,9,5.323,1
129,240,1,1,10,50,9,5.323,1
130,404,1,1,10,46,9,5.323,1
131,126,1,1,10,46,9,5.323,1
132,15,1,1,10,36,9,5.323,1
133,125,1,1,10,44,9,5.323,1
134,16,1,1,10,42,9,5.323,1
135,122,1,1,10,44,9,5.323,1
136,126,1,1,10,45,9,5.323,1
137,122,1,1,10,43,9,5.323,1
138,21,1,1,10,40,9,5.323,1
139,1196,1,1,10,44,14,5.323,1
140,1097,1,1,6,48,6,4.059,1
141,61.5,0,1,6,57,6,4.059,1
142,23.5,1,1,6,44,8,4.059,1
143,61.5,1,1,6,41,9,4.059,1
144,19.5,1,1,6,44,9,4.059,1
145,61.5,0,1,6,53,12,4.059,1
146,183,1,1,6,42,14,4.059,1
147,108.5,1,1,6,45,14,4.059,1
148,61.5,0,1,6,45,15,4.059,1
149,4,1,1,6,42,16,4.059,1
150,21.4,1,1,6,49,17,4.059,1
151,20.4,1,1,6,46,17,4.059,1
152,185.2,1,1,6,49,18,4.059,1
153,23.4,1,1,6,39,18,4.059,1
154,13.3,1,1,6,43,19,4.059,1
155,13.1,1,1,6,33,19,4.059,1
156,17.299999,1,1,6,36,19,4.059,1
157,15.4,1,1,6,47,20,4.059,1
158,13,1,1,6,36,20,4.059,1
159,8.5,0,1,6,40,20,4.059,1
160,19.299999,1,1,6,36,21,4.059,1
161,16.4,1,1,6,44,21,4.059,1
162,13.2,1,1,6,39,22,4.059,1
163,8.6999998,0,1,6,40,22,4.059,1
164,13.2,1,1,6,46,22,4.059,1
165,13.3,1,1,6,40,22,4.059,1
166,17.200001,1,1,6,44,23,4.059,1
167,108.2,1,1,6,35,24,4.059,1
168,15.2,1,1,6,43,25,4.059,1
169,23.200001,1,1,6,32,26,4.059,1
170,4.1999998,1,1,6,34,27,4.059,1
171,20.200001,1,1,6,47,26,4.059,1
172,81,1,1,2,50,5,3.9790001,1
173,59,0,1,2,54,5,3.9790001,1
174,2,1,1,2,43,11,3.9790001,1
175,120.1,1,1,2,51,12,3.9790001,1
176,11.1,1,1,2,47,12,3.9790001,1
177,39.900002,1,1,8,54,7,4.875,1
178,99.900002,1,1,8,42,7,4.875,1
179,35.900002,1,1,8,47,7,4.875,1
180,77.900002,1,1,8,32,7,4.875,1
181,36.900002,1,1,8,44,7,4.875,1
182,99.900002,1,1,8,34,7,4.875,1
183,163.7,1,1,8,36,7,4.875,1
184,39.900002,1,1,8,50,7,4.875,1
185,39.900002,1,1,8,48,7,4.875,1
186,176.10001,1,1,8,45,7,4.875,1
187,141.10001,1,1,8,45,7,4.875,1
188,72.900002,1,1,8,35,7,4.875,1
189,33.900002,1,1,8,48,11,4.875,1
190,39.799999,1,1,8,44,11,4.875,1
191,29.799999,1,1,8,39,11,4.875,1
192,37.799999,1,1,8,46,12,4.875,1
193,40,1,1,8,51,12,4.875,1
194,30,1,1,8,45,12,4.875,1
195,29.5,1,1,8,42,13,4.875,1
196,29.799999,1,1,8,43,14,4.875,1
197,29.799999,1,1,8,45,14,4.875,1
198,36.799999,1,1,8,46,14,4.875,1
199,39.799999,1,1,8,33,14,4.875,1
200,30,1,1,8,45,14,4.875,1
201,31.1,1,1,8,38,14,4.875,1
202,33.799999,1,1,8,44,16,4.875,1
203,33.799999,1,1,8,47,17,4.875,1
204,31.799999,1,1,8,45,17,4.875,1
205,32.900002,1,1,8,33,17,4.875,1
206,30,1,1,8,40,17,4.875,1
207,29.799999,1,1,8,43,17,4.875,1
208,29.799999,1,1,8,46,17,4.875,1
209,35.799999,1,1,8,48,17,4.875,1
210,36.799999,1,1,8,47,17,4.875,1
211,29.799999,1,1,8,35,17,4.875,1
212,60.799999,0,1,8,53,17,4.875,1
213,32,1,1,8,41,17,4.875,1
214,29.799999,1,1,8,45,17,4.875,1
215,36.700001,1,1,8,45,22,4.875,1
216,29.799999,1,1,8,46,22,4.875,1
217,96,1,1,23,42,3,7.0289998,1
218,3,1,1,23,45,8,7.0289998,1
219,9.3000002,1,1,23,52,8,7.0289998,1
220,51.299999,0,1,23,50,8,7.0289998,1
221,5.3000002,1,1,23,47,13,7.0289998,1
222,3.2,1,1,23,45,13,7.0289998,1
223,3.3,1,1,23,46,13,7.0289998,1
224,3.2,1,1,23,38,13,7.0289998,1
225,3.0999999,1,1,23,33,18,7.0289998,1
226,3.0999999,1,1,23,34,18,7.0289998,1
227,3.0999999,1,1,23,45,18,7.0289998,1
228,51,0,1,23,54,18,7.0289998,1
229,3,1,1,23,49,23,7.0289998,1
230,5.1999998,1,1,23,39,23,7.0289998,1
231,3,1,1,23,43,23,7.0289998,1
232,3,1,1,23,46,23,7.0289998,1
233,3.2,1,1,23,43,23,7.0289998,1
234,13,1,1,23,39,23,7.0289998,1
235,4.1999998,1,1,23,45,28,7.0289998,1
236,5,1,1,23,33,28,7.0289998,1
237,33.900002,1,1,23,42,28,7.0289998,1
238,7.9000001,1,1,23,43,28,7.0289998,1
239,2.5,1,1,23,41,28,7.0289998,1
240,8,1,1,23,52,28,7.0289998,1
241,2.7,1,1,23,37,28,7.0289998,1
242,2.9000001,1,1,23,42,28,7.0289998,1
243,4,1,1,23,36,33,7.0289998,1
244,7.8000002,1,1,23,35,33,7.0289998,1
245,2.5999999,1,1,23,33,33,7.0289998,1
246,2.8,1,1,23,37,36,7.0289998,1
247,2.5999999,1,1,23,43,36,7.0289998,1
248,2.8,1,1,23,36,36,7.0289998,1
249,10.5,1,1,10,42,4,4.2030001,1
250,23.5,1,1,10,53,4,4.2030001,1
251,11.8,1,1,10,48,4,4.2030001,1
252,23.5,1,1,10,50,4,4.2030001,1
253,10.5,1,1,10,49,6,4.2030001,1
254,39.400002,1,1,10,53,6,4.2030001,1
255,1.5,1,1,10,38,7,4.2030001,1
256,11.8,1,1,10,51,8,4.2030001,1
257,11.8,1,1,10,49,8,4.2030001,1
258,1.5,1,1,10,37,9,4.2030001,1
259,1.5,1,1,10,49,9,4.2030001,1
260,10.4,1,1,10,49,10,4.2030001,1
261,1.7,1,1,10,45,10,4.2030001,1
262,10.4,1,1,10,46,11,4.2030001,1
263,82.300003,1,1,10,41,12,4.2030001,1
264,10.4,1,1,10,46,12,4.2030001,1
265,1.5,1,1,10,48,12,4.2030001,1
266,10.4,1,1,10,48,13,4.2030001,1
267,11.7,1,1,10,55,13,4.2030001,1
268,1.4,1,1,10,37,14,4.2030001,1
269,159,1,1,10,34,15,4.2030001,1
270,1.4,1,1,10,34,15,4.2030001,1
271,11.6,1,1,10,53,16,4.2030001,1
272,23.200001,1,1,10,44,16,4.2030001,1
273,3.2,1,1,10,37,16,4.2030001,1
274,1.5,1,1,10,34,16,4.2030001,1
275,102.2,1,1,10,36,17,4.2030001,1
276,82.199997,1,1,10,31,18,4.2030001,1
277,1.4,1,1,10,34,18,4.2030001,1
278,3.2,1,1,10,30,19,4.2030001,1
279,1.3,1,1,10,42,19,4.2030001,1
280,1.3,1,1,10,33,20,4.2030001,1
281,1.2,1,1,10,34,20,4.2030001,1
282,23.200001,1,1,10,37,20,4.2030001,1
283,1.3,1,1,10,38,21,4.2030001,1
284,3.2,1,1,10,32,21,4.2030001,1
285,1.1,1,1,10,30,21,4.2030001,1
286,23.1,1,1,10,29,22,4.2030001,1
287,1.3,1,1,10,32,22,4.2030001,1
288,108.1,1,1,10,30,22,4.2030001,1
289,1.9,1,1,49,51,14,7.164,1
290,1.6,1,1,49,51,30,7.164,1
291,9.3999996,0,1,49,42,33,7.164,1
292,51.400002,0,1,58,57,21,5.8049998,1
293,52,1,1,58,52,25,5.8049998,1
294,51.400002,1,1,58,53,30,5.8049998,1
